File,Vulns,Trivy,Checkov,Kubeaudit,KubeLinter,Polaris,KubeScore,Kubescape,Conftest (OPA),KubeConform,RBAC-Police,Pluto,Gitleaks,Yamllint
3.efs_plugin_misconfig.yaml,Default capabilities not dropped,✔,✔,✔,,✔,,✔,✔,,,,,
3.efs_plugin_misconfig.yaml,Default namespace,✔,✔,,✔,,,✔,✔,,,,,
3.efs_plugin_misconfig.yaml,Default service account token mounted,,✔,✔,,✔,,✔,✔,,,,,
3.efs_plugin_misconfig.yaml,Deployment selector missing,,,,,,,✔,,,,,,
3.efs_plugin_misconfig.yaml,Docker socket mounted,,,,,,,✔,,,,,,
3.efs_plugin_misconfig.yaml,Filesystem not read-only,✔,✔,✔,✔,✔,✔,✔,,,,,,
3.efs_plugin_misconfig.yaml,Image not pinned by digest,,✔,,,✔,,,,,,,,
3.efs_plugin_misconfig.yaml,ImagePullPolicy not Always,✔,✔,,,✔,✔,✔,✔,,,,,
3.efs_plugin_misconfig.yaml,Ingress backend not found,,,,,✔,✔,✔,,,,,,
3.efs_plugin_misconfig.yaml,NetworkPolicy missing selectors,,✔,,,✔,✔,✔,,,,,,
3.efs_plugin_misconfig.yaml,No AppArmor profile,,,✔,,✔,,,✔,,,,,
3.efs_plugin_misconfig.yaml,No CPU limit,✔,✔,,✔,✔,✔,✔,✔,,,,,
3.efs_plugin_misconfig.yaml,No CPU request,✔,✔,,✔,✔,✔,✔,✔,,,,,
3.efs_plugin_misconfig.yaml,No TLS configured (Ingress),,,,,✔,,✔,,,,,,
3.efs_plugin_misconfig.yaml,No livenessProbe,,✔,,,✔,,✔,✔,,,,,
3.efs_plugin_misconfig.yaml,No memory limit,✔,✔,,✔,✔,✔,✔,✔,,,,,
3.efs_plugin_misconfig.yaml,No memory request,✔,✔,,✔,✔,✔,✔,✔,,,,,
3.efs_plugin_misconfig.yaml,No network policy,,✔,,,✔,✔,,✔,,,,,
3.efs_plugin_misconfig.yaml,No readinessProbe,,✔,,,✔,,✔,✔,,,,,
3.efs_plugin_misconfig.yaml,No seccomp profile,✔,✔,✔,,✔,,✔,✔,,,,,
3.efs_plugin_misconfig.yaml,No security context,✔,✔,✔,✔,,✔,✔,✔,,,,,
3.efs_plugin_misconfig.yaml,Privilege escalation allowed,✔,✔,✔,✔,✔,,✔,✔,,,,,
3.efs_plugin_misconfig.yaml,Privileged container,✔,✔,✔,✔,✔,✔,✔,✔,,,,,
3.efs_plugin_misconfig.yaml,Runs as root user,✔,✔,✔,✔,✔,✔,✔,✔,,,,,
3.efs_plugin_misconfig.yaml,Single replica (non-HA),,,,,,,✔,,,,,,
3.efs_plugin_misconfig.yaml,Unencrypted Secret,,,,,,✔,✔,,,,,,
3.efs_plugin_misconfig.yaml,Using latest tag,✔,✔,,,✔,,✔,,,,,,

3.multus_cni_misconfig.yaml,Default capabilities not dropped,,,,,✔,,✔,,,,,,
3.multus_cni_misconfig.yaml,Default namespace,,,,,,,✔,,,,,,
3.multus_cni_misconfig.yaml,Default service account token mounted,,,,,✔,,✔,,,,,,
3.multus_cni_misconfig.yaml,Deployment selector missing,,,,,,,✔,,,,,,
3.multus_cni_misconfig.yaml,Docker socket mounted,,,,,,,✔,,,,,,
3.multus_cni_misconfig.yaml,Filesystem not read-only,,,,,✔,,✔,,,,,,
3.multus_cni_misconfig.yaml,Image not pinned by digest,,,,,✔,,,,,,,,
3.multus_cni_misconfig.yaml,ImagePullPolicy not Always,,,,,✔,,✔,,,,,,
3.multus_cni_misconfig.yaml,Ingress backend not found,,,,,✔,,✔,,,,,,
3.multus_cni_misconfig.yaml,NetworkPolicy missing selectors,,,,,✔,,✔,,,,,,
3.multus_cni_misconfig.yaml,No AppArmor profile,,,,,✔,,,,,,,,
3.multus_cni_misconfig.yaml,No CPU limit,,,,,✔,,✔,,,,,,
3.multus_cni_misconfig.yaml,No CPU request,,,,,✔,,✔,,,,,,
3.multus_cni_misconfig.yaml,No TLS configured (Ingress),,,,,✔,,✔,,,,,,
3.multus_cni_misconfig.yaml,No livenessProbe,,,,,✔,,✔,,,,,,
3.multus_cni_misconfig.yaml,No memory limit,,,,,✔,,✔,,,,,,
3.multus_cni_misconfig.yaml,No memory request,,,,,✔,,✔,,,,,,
3.multus_cni_misconfig.yaml,No network policy,,,,,✔,,,,,,,,
3.multus_cni_misconfig.yaml,No readinessProbe,,,,,✔,,✔,,,,,,
3.multus_cni_misconfig.yaml,No seccomp profile,,,,,✔,,✔,,,,,,
3.multus_cni_misconfig.yaml,No security context,,,,,,,✔,,,,,,
3.multus_cni_misconfig.yaml,Privilege escalation allowed,,,,,✔,,✔,,,,,,
3.multus_cni_misconfig.yaml,Privileged CNI plugin config,,,,,,,,✔,,,,,
3.multus_cni_misconfig.yaml,Privileged container,,,,,✔,,✔,,,,,,
3.multus_cni_misconfig.yaml,Runs as root user,,,,,✔,,✔,✔,,,,,
3.multus_cni_misconfig.yaml,Single replica (non-HA),,,,,,,✔,,,,,,
3.multus_cni_misconfig.yaml,Unencrypted Secret,,,,,,,✔,,,,,,
3.multus_cni_misconfig.yaml,Using latest tag,,,,,✔,,✔,,,,,,

3.nginx_pod_example.yaml,Default capabilities not dropped,✔,✔,✔,,✔,,✔,✔,,,,,
3.nginx_pod_example.yaml,Default namespace,✔,✔,,✔,,,✔,✔,,,,,
3.nginx_pod_example.yaml,Default service account token mounted,,✔,✔,,✔,,✔,✔,,,,,
3.nginx_pod_example.yaml,Deployment selector missing,,,,,,,✔,,,,,,
3.nginx_pod_example.yaml,Docker socket mounted,,,,,,,✔,,,,,,
3.nginx_pod_example.yaml,Filesystem not read-only,✔,✔,✔,✔,✔,✔,✔,✔,,,,,
3.nginx_pod_example.yaml,Image not pinned by digest,,✔,,,✔,,,,,,,,
3.nginx_pod_example.yaml,ImagePullPolicy not Always,,✔,,,✔,✔,✔,✔,,,,,
3.nginx_pod_example.yaml,Ingress backend not found,,,,,✔,✔,✔,,,,,,
3.nginx_pod_example.yaml,NetworkPolicy missing selectors,,✔,,,✔,✔,✔,,,,,,
3.nginx_pod_example.yaml,No AppArmor profile,,,✔,,✔,,,✔,,,,,
3.nginx_pod_example.yaml,No CPU limit,✔,✔,,✔,✔,✔,✔,✔,,,,,
3.nginx_pod_example.yaml,No CPU request,✔,✔,,✔,✔,✔,✔,✔,,,,,
3.nginx_pod_example.yaml,No TLS configured (Ingress),,,,,✔,,✔,,,,,,
3.nginx_pod_example.yaml,No livenessProbe,,✔,,,✔,,✔,✔,,,,,
3.nginx_pod_example.yaml,No memory limit,✔,✔,,✔,✔,✔,✔,✔,,,,,
3.nginx_pod_example.yaml,No memory request,✔,✔,,✔,✔,✔,✔,✔,,,,,
3.nginx_pod_example.yaml,No network policy,,✔,,,✔,✔,,✔,,,,,
3.nginx_pod_example.yaml,No readinessProbe,,✔,,,✔,,✔,✔,,,,,
3.nginx_pod_example.yaml,No seccomp profile,✔,✔,✔,,✔,,✔,✔,,,,,
3.nginx_pod_example.yaml,No security context,✔,✔,✔,✔,,✔,✔,✔,,,,,
3.nginx_pod_example.yaml,Privilege escalation allowed,✔,✔,✔,,✔,,✔,✔,,,,,
3.nginx_pod_example.yaml,Privileged container,✔,,,,✔,,✔,,,,,,
3.nginx_pod_example.yaml,Runs as root user,✔,✔,✔,✔,✔,✔,✔,✔,,,,,
3.nginx_pod_example.yaml,Single replica (non-HA),,,,,,,✔,,,,,,
3.nginx_pod_example.yaml,Unencrypted Secret,,,,,,✔,✔,,,,,,
3.nginx_pod_example.yaml,Using latest tag,,✔,,,✔,,✔,,,,,,

13.jenkins_agent_pod.yaml,Default capabilities not dropped,,,✔,,✔,,✔,✔,,,,,
13.jenkins_agent_pod.yaml,Default namespace,,,,✔,,,✔,,,,,,
13.jenkins_agent_pod.yaml,Default service account token mounted,,,✔,,✔,,✔,✔,,,,,
13.jenkins_agent_pod.yaml,Deployment selector missing,,,,,,,✔,,,,,,
13.jenkins_agent_pod.yaml,Docker socket mounted,,,✔,✔,,,✔,✔,,,,,
13.jenkins_agent_pod.yaml,Filesystem not read-only,,,✔,✔,✔,✔,✔,✔,,,,,
13.jenkins_agent_pod.yaml,Image not pinned by digest,,,,,✔,✔,,,,,,,
13.jenkins_agent_pod.yaml,ImagePullPolicy not Always,,,,,✔,,✔,✔,,,,,
13.jenkins_agent_pod.yaml,Ingress backend not found,,,,,✔,✔,✔,,,,,,
13.jenkins_agent_pod.yaml,NetworkPolicy missing selectors,,,,,✔,✔,✔,,,,,,
13.jenkins_agent_pod.yaml,No AppArmor profile,,,✔,,✔,,,✔,,,,,
13.jenkins_agent_pod.yaml,No CPU limit,,,,✔,✔,✔,✔,✔,,,,,
13.jenkins_agent_pod.yaml,No CPU request,,,,✔,✔,✔,✔,✔,,,,,
13.jenkins_agent_pod.yaml,No TLS configured (Ingress),,,,,✔,,✔,,,,,,
13.jenkins_agent_pod.yaml,No livenessProbe,,,,,✔,,✔,✔,,,,,
13.jenkins_agent_pod.yaml,No memory limit,,,,✔,✔,✔,✔,✔,,,,,
13.jenkins_agent_pod.yaml,No memory request,,,,✔,✔,✔,✔,✔,,,,,
13.jenkins_agent_pod.yaml,No network policy,,,,,✔,✔,,,,,,,
13.jenkins_agent_pod.yaml,No readinessProbe,,,,,✔,,✔,✔,,,,,
13.jenkins_agent_pod.yaml,No seccomp profile,,,✔,,✔,,✔,,,,,,
13.jenkins_agent_pod.yaml,No security context,,,✔,✔,,✔,✔,✔,,,,,
13.jenkins_agent_pod.yaml,Privilege escalation allowed,,,✔,,✔,,✔,,,,,,
13.jenkins_agent_pod.yaml,Privileged container,,,,,✔,,✔,,,,,,
13.jenkins_agent_pod.yaml,Runs as root user,,,✔,✔,✔,✔,✔,✔,,,,,
13.jenkins_agent_pod.yaml,Single replica (non-HA),,,,,,,✔,,,,,,
13.jenkins_agent_pod.yaml,Unencrypted Secret,,,,,,,✔,,,,,,
13.jenkins_agent_pod.yaml,Using latest tag,,,,✔,✔,✔,✔,✔,,,,,

13.nginx_privileged_deployment.yaml,Default capabilities not dropped,✔,✔,✔,,✔,,✔,,,,,,
13.nginx_privileged_deployment.yaml,Default namespace,✔,✔,,✔,,,✔,✔,,,,,
13.nginx_privileged_deployment.yaml,Default service account token mounted,,✔,✔,,✔,,✔,✔,,,,,
13.nginx_privileged_deployment.yaml,Deployment selector missing,,,,✔,,✔,✔,✔,,,,,
13.nginx_privileged_deployment.yaml,Docker socket mounted,,,,,,,✔,,,,,,
13.nginx_privileged_deployment.yaml,Filesystem not read-only,✔,✔,✔,✔,✔,✔,✔,,,,,,
13.nginx_privileged_deployment.yaml,Image not pinned by digest,✔,✔,,,✔,✔,,,,,,,
13.nginx_privileged_deployment.yaml,ImagePullPolicy not Always,,,,,✔,,✔,✔,,,,,
13.nginx_privileged_deployment.yaml,Ingress backend not found,,,,,✔,✔,✔,,,,,,
13.nginx_privileged_deployment.yaml,NetworkPolicy missing selectors,,,,✔,✔,✔,✔,,,,,,
13.nginx_privileged_deployment.yaml,No AppArmor profile,,,✔,,✔,,,✔,,,,,
