Namespace,Kind,Name,File,GroupKey,ToolsAgreeCount,Confirmed,Severity,Tools
,Deployment,nginx-deployment,/scan/13.nginx_privileged_deployment.yaml,schema-validation-failed,1,N,HIGH,kubeconform
,Object,unknown,,kubeaudit,1,N,HIGH,kubeaudit
,Object,unknown,13.nginx_privileged_deployment.yaml,KSV014,1,N,HIGH,trivy-config
,Object,unknown,13.nginx_privileged_deployment.yaml,KSV017,1,N,HIGH,trivy-config
,Object,unknown,13.nginx_privileged_deployment.yaml,KSV118,1,N,HIGH,trivy-config
,Object,unknown,14.deployment_single_replica.yaml,KSV014,1,N,HIGH,trivy-config
,Object,unknown,14.deployment_single_replica.yaml,KSV118,1,N,HIGH,trivy-config
,Object,unknown,14.genkubesec_privileged_pod.yaml,KSV014,1,N,HIGH,trivy-config
,Object,unknown,14.genkubesec_privileged_pod.yaml,KSV017,1,N,HIGH,trivy-config
,Object,unknown,14.genkubesec_privileged_pod.yaml,KSV118,1,N,HIGH,trivy-config
,Object,unknown,15.pod_privilege_escalation.yaml,KSV014,1,N,HIGH,trivy-config
,Object,unknown,15.pod_privilege_escalation.yaml,KSV118,1,N,HIGH,trivy-config
,Object,unknown,16.busybox_pod_missing_memory.yaml,KSV014,1,N,HIGH,trivy-config
,Object,unknown,16.busybox_pod_missing_memory.yaml,KSV118,1,N,HIGH,trivy-config
,Object,unknown,3.efs_plugin_misconfig.yaml,KSV014,1,N,HIGH,trivy-config
,Object,unknown,3.efs_plugin_misconfig.yaml,KSV017,1,N,HIGH,trivy-config
,Object,unknown,3.efs_plugin_misconfig.yaml,KSV118,1,N,HIGH,trivy-config
,Object,unknown,3.nginx_pod_example.yaml,KSV014,1,N,HIGH,trivy-config
,Object,unknown,3.nginx_pod_example.yaml,KSV118,1,N,HIGH,trivy-config
,YAML,13.jenkins_agent_pod.yaml,/scan/13.jenkins_agent_pod.yaml,yaml-lint,1,N,HIGH,yamllint
,YAML,13.nginx_privileged_deployment.yaml,/scan/13.nginx_privileged_deployment.yaml,yaml-lint,1,N,HIGH,yamllint
,YAML,14.deployment_single_replica.yaml,/scan/14.deployment_single_replica.yaml,yaml-lint,1,N,HIGH,yamllint
,YAML,14.genkubesec_privileged_pod.yaml,/scan/14.genkubesec_privileged_pod.yaml,yaml-lint,1,N,HIGH,yamllint
,YAML,14.ingress_deprecated_api.yaml,/scan/14.ingress_deprecated_api.yaml,yaml-lint,1,N,HIGH,yamllint
,YAML,15.pod_privilege_escalation.yaml,/scan/15.pod_privilege_escalation.yaml,yaml-lint,1,N,HIGH,yamllint
,YAML,16.busybox_pod_missing_memory.yaml,/scan/16.busybox_pod_missing_memory.yaml,yaml-lint,1,N,HIGH,yamllint
,YAML,20.wordpress_mariadb_compose.yaml,/scan/20.wordpress_mariadb_compose.yaml,yaml-lint,1,N,HIGH,yamllint
,YAML,27.kubeteus_misconfigured_policy.yaml,/scan/27.kubeteus_misconfigured_policy.yaml,yaml-lint,1,N,HIGH,yamllint
,YAML,28.role_overly_permissive.yaml,/scan/28.role_overly_permissive.yaml,yaml-lint,1,N,HIGH,yamllint
,YAML,29.helm_rabbitmq_hardcoded_credentials.yaml,/scan/29.helm_rabbitmq_hardcoded_credentials.yaml,yaml-lint,1,N,HIGH,yamllint
,YAML,3.efs_plugin_misconfig.yaml,/scan/3.efs_plugin_misconfig.yaml,yaml-lint,1,N,HIGH,yamllint
,YAML,3.multus_cni_misconfig.yaml,/scan/3.multus_cni_misconfig.yaml,yaml-lint,1,N,HIGH,yamllint
,YAML,3.nginx_pod_example.yaml,/scan/3.nginx_pod_example.yaml,yaml-lint,1,N,HIGH,yamllint
,Deployment,nginx-deployment,/scan/13.nginx_privileged_deployment.yaml,latest-tag,1,N,MEDIUM,kubelinter
,Deployment,nginx-deployment,/scan/13.nginx_privileged_deployment.yaml,mismatching-selector,1,N,MEDIUM,kubelinter
,Deployment,nginx-deployment,/scan/13.nginx_privileged_deployment.yaml,no-anti-affinity,1,N,MEDIUM,kubelinter
,Deployment,nginx-deployment,/scan/13.nginx_privileged_deployment.yaml,no-read-only-root-fs,1,N,MEDIUM,kubelinter
,Deployment,nginx-deployment,/scan/13.nginx_privileged_deployment.yaml,privilege-escalation-container,1,N,MEDIUM,kubelinter
,Deployment,nginx-deployment,/scan/13.nginx_privileged_deployment.yaml,privileged-container,1,N,MEDIUM,kubelinter
,Deployment,nginx-deployment,/scan/13.nginx_privileged_deployment.yaml,run-as-non-root,1,N,MEDIUM,kubelinter
,Deployment,nginx-deployment,/scan/13.nginx_privileged_deployment.yaml,unset-cpu-requirements,1,N,MEDIUM,kubelinter
