file,kind,name,namespace,category,severity,priority,status,score,tools,provenance,reason
13.deployment.yaml,,,,Security/PrivilegedContainer,HIGH,CRITICAL,Actual,1.32,checkov;conftest;kubeaudit;kubelinter;kubescore;polaris,tools,"strong-tool={'conftest', 'kubeaudit', 'polaris', 'checkov'}"
13.deployment.yaml,Deployment,nginx-deployment,,Security/PrivilegedContainer,HIGH,CRITICAL,Actual,0.3,trivy,tools,strong-tool={'trivy'}
13.deployment.yaml,,,,Security/AllowPrivilegeEscalation,HIGH,HIGH,Actual,0.95,checkov;conftest;kubeaudit;kubelinter;polaris,tools,"strong-tool={'conftest', 'kubeaudit', 'polaris', 'checkov'}"
13.deployment.yaml,,,,Resources/MissingLimits,MEDIUM,HIGH,Actual,2.38,checkov;conftest;kubelinter;polaris,tools,"strong-tool={'conftest', 'polaris', 'checkov'}"
13.deployment.yaml,,,,Resources/MissingRequests,MEDIUM,HIGH,Actual,2.62,checkov;conftest;kubelinter;kubescore;polaris,tools,"strong-tool={'conftest', 'kubescore', 'polaris', 'checkov'}"
13.deployment.yaml,,,,Security/CapabilitiesNotDropped,MEDIUM,HIGH,Actual,1.33,checkov;conftest;kubeaudit;polaris;trivy,tools,"strong-tool={'trivy', 'checkov', 'conftest', 'kubeaudit', 'polaris'}"
13.deployment.yaml,,,,Security/ReadOnlyRootFSFalse,MEDIUM,HIGH,Actual,1.27,checkov;conftest;kubeaudit;kubelinter;kubescore;polaris,tools,"strong-tool={'conftest', 'kubeaudit', 'polaris', 'checkov'}"
13.deployment.yaml,,,,Probes/MissingReadinessLiveness,MEDIUM,HIGH,Actual,2.26,checkov;conftest;polaris,tools,"strong-tool={'conftest', 'polaris', 'checkov'}"
13.deployment.yaml,,,,Policy/PodSecurityViolation,HIGH,HIGH,Actual,0.35,checkov;trivy,tools,strong-tool={'checkov'}
13.deployment.yaml,,,,Auth/RunAsRoot,MEDIUM,HIGH,Actual,1.9,checkov;conftest;kubeaudit;kubelinter;polaris,tools,"strong-tool={'conftest', 'kubeaudit', 'polaris', 'checkov'}"
